sample_id,P_2,Q_2,P_3,Q_3,P_4,Q_4,P_5,Q_5,P_6,Q_6,P_7,Q_7,P_8,Q_8,P_9,Q_9,P_10,Q_10,P_11,Q_11,P_12,Q_12,P_13,Q_13,P_14,Q_14,P_15,Q_15,P_16,Q_16,P_17,Q_17,P_18,Q_18,P_19,Q_19,P_20,Q_20,P_21,Q_21,P_22,Q_22,P_23,Q_23,P_24,Q_24,P_25,Q_25,P_26,Q_26,P_27,Q_27,P_28,Q_28,P_29,Q_29,P_30,Q_30,P_31,Q_31,P_32,Q_32,P_33,Q_33
0,98.23757942275174,58.94254765365104,80.07691932978192,35.589741924347514,136.30909322326087,90.87272881550724,54.57024127586924,27.28512063793461,45.72438260171239,15.241460867237468,177.87654700312876,88.93827350156438,135.06871624413338,67.53435812206669,62.24720517441071,20.749068391470242,73.83083907568354,24.610279691894522,44.95286073999078,29.96857382666052,51.07889881746274,29.796024310186596,60.14935026261489,35.08712098652535,132.06903636624446,88.04602424416296,57.821838135504166,9.636973022584023,64.59766542253192,21.53255514084398,46.05481900460712,15.351606334869043,99.00700005931661,44.00311113747404,72.49314334307768,32.219174819145636,102.81102362487808,45.693788277723584,94.65436517713331,42.06860674539258,104.58817159940239,46.483631821956614,86.1443378683326,47.85796548240701,375.76761637614516,178.93696017911668,421.72363660566236,200.82077933602963,50.128731360367674,20.88697140015319,74.1863856821163,30.91099403421511,56.605681129176574,18.868560376392196,140.34407788045002,93.56271858696667,221.32706930651938,110.66353465325969,150.65695854804943,70.30658065575645,223.25340776338066,106.31114655399077,40.82038625592711,27.21359083728474
1,94.18593925330742,56.51156355198445,87.37297262502287,38.83243227778794,110.79092385937597,73.86061590625064,47.801785353678866,23.900892676839423,40.195907076133594,13.398635692044534,196.12036402751423,98.06018201375711,231.66224440319482,115.83112220159741,57.32039780826223,19.106799269420748,62.79618252940591,20.93206084313531,49.805216291528566,33.203477527685706,68.94308162508847,40.216797614634935,50.54466977331244,29.48439070109892,94.19398815776451,62.79599210517634,58.9530835891405,9.82551393152341,65.10718318662987,21.702394395543294,66.64881794188497,22.216272647294996,68.20530666760271,30.31346963004565,68.03910530803779,30.239602359127904,86.25614698341042,38.336065325960185,73.929827067522,32.857700918898665,69.89681192788994,31.065249745728863,98.98533995876056,54.99185553264477,519.7976899833976,247.52270951590356,428.47397961823106,204.03522838963377,54.222706895686855,22.592794539869516,51.4227921445665,21.426163393569368,67.8170506469933,22.60568354899777,129.623624549726,86.41574969981733,210.96992711611674,105.48496355805837,131.7499351989837,61.4833030928591,208.4223761028784,99.24875052518016,51.081806935632756,34.0545379570885
2,98.59019414472365,59.15411648683419,82.002614899009,36.44560662178178,116.69101242367304,77.79400828244869,54.95172431811399,27.475862159056984,52.376067349957054,17.458689116652355,228.31237977299193,114.15618988649597,190.46778645969493,95.23389322984747,58.64713923678186,19.549046412260626,65.72086163553423,21.906953878511416,39.21052027042134,26.14034684694756,66.37045734635929,38.716100118709576,60.578681438286225,35.33756417233363,149.59302580791925,99.72868387194616,43.439571422399204,7.239928570399863,48.750417686864736,16.250139228954918,58.10620301989488,19.368734339964966,94.5969606649199,42.04309362885329,97.93195668975734,43.52531408433659,103.50115209732057,46.000512043253586,96.84453427306578,43.04201523247367,109.85795991504435,48.82575996224193,89.82272234917731,49.90151241620963,374.5838524412974,178.37326306728443,424.5687038388084,202.17557325657538,51.870493519761965,21.612705633234146,65.73336065864254,27.38890027443438,64.37583206752537,21.458610689175128,122.04407358855109,81.36271572570072,144.84525724129767,72.42262862064884,181.26459809981054,84.59014577991164,163.6137713479221,77.91131968948669,48.94860423479652,32.63240282319768
3,96.61052157612177,57.96631294567306,121.57522113630884,54.03343161613726,147.8406720272481,98.5604480181654,71.86063281010878,35.93031640505438,67.94910069784207,22.64970023261403,209.83441445427093,104.91720722713546,217.75402849636285,108.87701424818142,68.62547363582632,22.875157878608782,56.119957812961026,18.706652604320347,49.15649351657851,32.770995677719,54.8457647557756,31.993362774202428,54.53977639928214,31.81486956624791,101.21376822132193,67.47584548088128,62.702326028572614,10.450387671428762,68.55343764833019,22.851145882776734,53.37776376647845,17.792587922159488,87.10882189666789,38.71503195407462,94.53126027810454,42.01389345693535,88.76080887371502,39.449248388317784,73.10365530082284,32.49051346703237,115.04240097924452,51.129955990775336,89.40300071223909,49.66833372902173,452.09411861717126,215.28291362722436,433.9320245124814,206.63429738689584,70.78491928718303,29.493716369659584,63.36513302003238,26.402138758346815,44.79183424279887,14.930611414266295,117.96746457354085,78.64497638236057,219.76576695562642,109.88288347781321,159.6952793064216,74.52446367633013,209.31389173782316,99.67328177991575,56.52114149539955,37.68076099693303
4,59.65140609394667,35.790843656368,78.99491068010391,35.10884919115729,113.10758277022273,75.40505518014848,53.74383608115718,26.871918040578578,68.41850722637643,22.80616907545882,156.38875608725374,78.19437804362687,218.91743795538522,109.45871897769261,65.22525069686066,21.74175023228689,56.35196845692155,18.78398948564052,41.52671200194853,27.684474667965688,65.8771979328078,38.42836546080455,59.643945739180026,34.79230168118834,152.9662958008497,101.9775305338998,65.01253082566375,10.835421804277285,41.513202503586655,13.837734167862221,62.91029743380005,20.97009914460002,69.55745863483683,30.91442605992748,95.13761635781127,42.28338504791612,62.4501886078596,27.75563938127093,93.36432489618619,41.49525550941608,93.42912969982882,41.52405764436836,87.11361054753547,48.39645030418639,417.52086909242126,198.8194614725815,346.62523904376354,165.05963763988734,66.92234210082462,27.884309208676918,69.14923500068485,28.812181250285345,52.738499714430944,17.57949990481032,149.31307637297718,99.54205091531811,180.6975548305997,90.34877741529985,95.20855853494308,44.43066064964013,205.29095240147538,97.75759638165492,68.06467266156741,45.37644844104494
5,139.25377822714123,83.55226693628474,87.64456719593974,38.95314097597322,161.015041248919,107.34336083261266,65.74220257988242,32.871101289941194,63.690724237425044,21.23024141247502,180.7976111151519,90.39880555757595,221.38319107298426,110.69159553649213,64.27235583800524,21.42411861266842,63.63422890165982,21.21140963388661,47.85179101953287,31.90119401302191,70.03611691095344,40.8544015313895,49.53548580579448,28.89570005338011,134.26667489212315,89.51111659474876,41.20787953364559,6.867979922274261,62.742041194382345,20.914013731460788,59.716657293422855,19.905552431140958,109.47804026832401,48.65690678592178,104.21337284063426,46.31705459583745,101.69257432245293,45.19669969886797,114.7372414544292,50.99432953530186,80.69262319468005,35.863388086524466,96.09535229204273,53.386306828912645,452.08053550106837,215.27644547669917,249.52065540607103,118.81935971717665,46.267474631971226,19.278114429988005,57.42941050311928,23.92892104296636,61.42372892447389,20.47457630815797,124.00544950433921,82.67029966955947,235.57892975612523,117.78946487806262,149.1828497853125,69.61866323314588,236.61580749883805,112.67419404706571,71.41455196331393,47.60970130887595
6,76.10106188018116,45.6606371281087,97.51737296496042,43.341054651093515,157.4709376482694,104.98062509884626,54.24781910360772,27.123909551803848,51.302940906227846,17.100980302075953,175.60897709075806,87.80448854537903,228.3904097932081,114.19520489660405,60.16637204642895,20.055457348809654,72.2126172581085,24.070872419369504,37.47665254938199,24.984435032921326,55.471321280908576,32.35827074719666,44.480440649943866,25.946923712467253,111.86885298291499,74.57923532194332,47.50036940642347,7.916728234403907,65.3515113642683,21.783837121422774,63.246037402717455,21.08201246757249,83.66838136103492,37.185947271571074,82.25547447182207,36.55798865414314,110.16904578759656,48.964020350042915,110.8763955295507,49.278398013133646,82.51132707481314,36.67170092213917,86.19703162819096,47.887239793439434,438.54582984097874,208.83134754332315,409.051737617834,194.78654172277805,67.4390486716864,28.099603613202653,61.91690628684407,25.798710952851685,62.60512217590986,20.868374058636626,123.86975145936964,82.57983430624643,222.5745379839499,111.28726899197495,125.69399987450782,58.65719994143702,237.33137015492272,113.01493816901079,42.70313927818649,28.468759518790993
7,103.07484985082316,61.84490991049389,88.70820755390857,39.42587002395936,113.55356862411193,75.70237908274129,71.00292921512006,35.50146460756002,65.31101635875758,21.770338786252534,235.99479859326942,117.99739929663471,204.2905443135711,102.14527215678555,71.9204770775248,23.973492359174937,48.18119473195175,16.060398243983922,51.30837233641036,34.205581557606905,48.08349203473611,28.048703686929393,66.36574598374997,38.71335182385415,125.97684861857087,83.98456574571391,44.59909300011343,7.433182166685567,59.74019711527804,19.91339903842602,69.49156966745846,23.163856555819493,108.85192602860783,48.378633790492366,96.3119701132821,42.805320050347596,87.79838182642995,39.02150303396886,70.60994773832601,31.38219899481156,100.7001807103777,44.755635871278976,48.349048153845686,26.860582307692056,406.64671412336094,193.64129243969563,414.1210359853256,197.20049332634545,59.27178018562788,24.696575077344942,44.020059782819104,18.341691576174618,63.63957307184793,21.213191023949314,116.47007449806478,77.64671633204318,198.40513217370466,99.20256608685233,150.59738397873394,70.27877919007588,128.59103578106144,61.23382656241019,74.36096277745742,49.57397518497161
8,95.25954474597667,57.155726847586,96.3639335706007,42.82841492026697,125.96055974361323,83.97370649574215,40.288050791290175,20.144025395645077,58.87041572882783,19.623471909609282,249.9968693095359,124.99843465476795,178.21531214432582,89.10765607216291,58.70664414992171,19.568881383307243,56.702162234075836,18.90072074469195,47.98575399539223,31.990502663594818,48.67813889491085,28.395581022031326,61.89034526536459,36.10270140479601,114.45490999247565,76.30327332831709,46.63853301516599,7.773088835860994,71.71533531463086,23.905111771543627,55.07333963760874,18.35777987920292,96.85156285406343,43.04513904625041,89.67607190159796,39.85603195626576,90.53943591973392,40.239749297659515,103.26058478887913,45.89359323950183,88.25818635504821,39.22586060224365,84.90149199941686,47.1674955552316,446.65383027167815,212.6923001293705,463.6706009106081,220.79552424314664,52.65293512968487,21.93872297070202,55.52362063408194,23.134841930867466,68.73310348786259,22.911034495954205,109.17889040231393,72.78592693487595,187.92595945563303,93.96297972781652,112.82310043276584,52.650780201957424,241.54408018462271,115.02099056410601,71.58411482356493,47.722743215709954
9,70.54334345501331,42.32600607300799,90.73376919843523,40.32611964374899,143.8517647785721,95.90117651904805,71.84755380857446,35.923776904287216,50.958056667421076,16.986018889140365,185.7063689619219,92.85318448096095,182.6309113525298,91.3154556762649,78.00756949018745,26.002523163395825,68.12376116563082,22.707920388543613,40.704240148302695,27.136160098868462,60.15721179626389,35.09170688115393,74.7407717918435,43.598783545242036,150.92455705953958,100.61637137302638,49.66312192195016,8.277186986991689,75.22564054075217,25.075213513584064,39.372092201074736,13.124030733691582,109.2865289390758,48.57179063958924,90.25126652857439,40.11167401269973,112.99749595297774,50.22110931243455,66.29872575746802,29.466100336652453,75.36818283940785,33.49697015084793,77.00254360325354,42.77919089069642,398.7553763584839,189.88351255165895,497.2862575036387,236.8029797636374,57.63202509942946,24.013343791428934,56.152426255185844,23.396844272994095,58.42275248499535,19.47425082833179,145.56827255957398,97.04551503971598,192.67055354173658,96.33527677086829,137.83256731712805,64.32186474799313,254.2182802786511,121.05632394221477,53.7000017954674,35.800001196978265
